Zone,Site,2014,2015,2016,2017-
A,EDI,0,6,6,8
A,RSY,0,6,6,8
A,FOF,6,6,6,8
B,BAD,6,6,6,6
B,LVN,6,6,6,8
B,DOW,0,0,0,8
B,GLF,6,6,6,8
C,SER,0,6,6,8
C,MCH,6,6,6,6
C,PTH,6,6,6,8
C,STY,6,6,6,8
D,BIR,6,6,6,8
D,DUN,6,6,6,8
D,BLG,6,6,6,8
E,PIT,0,0,0,8
E,KCK,6,6,6,8
E,KCZ,0,6,6,8
E,BLA,6,6,6,8
E,CAL,6,6,6,8
F,DNM,6,6,6,8
F,DNC,6,6,6,8
F,DNS,0,4,4,4
F,DLW,6,6,6,6
G,CRU,6,6,6,8
G,NEW,6,6,6,8
G,HWP,0,0,0,8
G,INS,6,6,6,8
G,FSH,6,6,6,8
H,RTH,0,6,6,6
H,AVI,6,6,6,8
H,AVN,0,6,6,8
H,CAR,6,6,6,6
I,SLS,0,6,6,8
I,TOM,6,6,6,8
I,DAV,6,6,6,8
J,ART,0,6,6,8
J,MUN,6,6,6,8
K,FOU,6,6,6,8
K,ALN,6,6,6,8
K,DEL,6,6,6,8
L,TAI,6,6,6,6
L,SPD,0,6,6,8
L,OSP,0,0,0,8
L,DOR,6,6,6,6
