site,Name,UK.Grid.Ref,Mean.Lat,Mean.Long,Mean.Elev,Original.Boxes,Current.Boxes,Installation.Date,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,extras,dateofextraboxes,management..rough.,easting,northing,soprano1,soprano2
EDI,Edinburgh,NT1175,55.977,-3.41407,54,6,8,04/02/2015,NA,1,1,1,1,1,1,1,2,18/02/2017,garden/parkland,311854.3655,676904.0707,,
RSY,Rosyth,NT1083,56.02237,-3.41313,37,6,8,20/01/2015,NA,1,1,1,1,1,1,1,2,18/02/2017,garden/parkland,312016.3014,681952.0042,,
FOF,Fordell Firs,NT1385,56.05684,-3.38232,86,6,8,09/12/2013,1,1,1,1,1,1,1,1,2,18/02/2017,garden/parkland,314013.3797,685749.2799,,
BAD,Blairadam,NT1093,56.12171,-3.44513,170,6,6,29/11/2013,1,NA,NA,1,1,1,1,1,NA,,grazing,310253.3152,693048.6812,,
LVN,Loch Leven,NT1598,56.1746,-3.35522,122,6,8,09/12/2013,1,1,1,1,1,1,1,1,2,18/02/2017,forest,315958.3737,698821.4429,phenoweb-013,phenoweb-014
DOW,Dowhill,NT116975,56.162535,-3.423004,153,NA,8,03/03/2017,NA,NA,NA,1,1,1,1,1,NA,,garden/parkland,311722.5455,697563.5092,phenoweb-011,phenoweb-012
GLF,Glenfarg,NO1612,56.30158,-3.35896,100,6,8,10/01/2014,1,1,1,1,1,1,1,1,2,18/02/2017,forest fragment,316004.9534,712957.994,,
SER,Strathearn,NO1318,56.35109,-3.39653,10,6,8,20/02/2015,NA,1,1,1,1,1,1,1,2,18/02/2017,forest fragment,313792.0755,718514.6747,phenoweb-009,phenoweb-010
MCH,Moncrieffe Hill,NO1519,56.35749,-3.37509,48,6,6,29/11/2013,1,NA,1,1,1,1,1,1,NA,,forest,315131.2204,719200.2741,,
PTH,Perth,NO0926,56.42266,-3.47488,24,6,8,29/11/2013,1,1,NA,1,1,1,1,1,2,18/02/2017,forest fragment,309121.2135,726580.9736,,
STY,Stanley,NO0932,56.47694,-3.47467,51,6,8,29/11/2013,1,1,1,1,1,1,1,1,2,18/02/2017,forest,309263.7984,732621.7567,,
BIR,Birnam,NO0539,56.53707,-3.53395,87,6,8,10/01/2014,1,NA,1,1,1,1,1,1,2,18/02/2017,forest,305762.1525,739393.8249,,
DUN,Dunkeld,NO0144,56.57103,-3.61625,112,6,8,29/11/2013,1,1,NA,1,1,1,1,1,2,18/02/2017,forest,300790.2876,743289.458,,
BLG,Ballinluig,NN9852,56.64949,-3.66322,79,6,8,29/11/2013,1,1,1,1,1,1,1,1,2,18/02/2017,forest fragment,298116.3245,752090.4727,phenoweb-001,phenoweb-002
PIT,Pitlochry,NN9756,56.681,-3.681,162,8,8,21/02/2017,NA,NA,NA,1,1,1,1,1,NA,,grazing,297112.2426,755623.922,phenoweb-005,phenoweb-006
KCK,Killiecrankie I,NN9161,56.73079,-3.77466,117,6,8,09/12/2013,1,1,1,1,1,1,1,1,2,21/02/2017,forest,291518.3959,761309.803,,
KCZ,Killiecrankie II,NN9161,56.73073,-3.77201,155,6,8,20/01/2015,NA,1,1,1,1,1,1,1,2,21/02/2017,forest,291680.3396,761298.9282,,
BLA,Blair Atholl,NN8764,56.76043,-3.84963,175,6,8,09/12/2013,1,1,1,1,1,1,1,1,2,21/02/2017,grazing,287021.1634,764729.807,,
CAL,Calvine,NN7966,56.77057,-3.97249,194,6,8,29/11/2013,1,1,1,1,1,1,1,1,2,21/02/2017,forest,279543.7423,766067.8801,,
DNM,Dalnamein,NN7668,56.79876,-4.0343,248,6,8,29/11/2013,1,1,1,1,1,1,1,1,2,21/02/2017,grazing,275859.8886,769315.5865,phenoweb-003,phenoweb-004
DNC,Dalnacardoch,NN6971,56.81636,-4.13492,363,6,8,10/01/2014,1,1,1,1,1,1,1,1,2,22/02/2017,upland scrub,269777.0359,771461.3412,,
