"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mphia",0.466,0,0.023,0.424,0.451,0.465,0.481,0.514,7625.388,1
"mim",0.261,0.001,0.046,0.174,0.229,0.26,0.291,0.354,2306.111,1.003
"mprod",4.18,0.006,0.465,3.329,3.873,4.156,4.459,5.183,6711.986,1
"sig_site_phia",0.044,0,0.037,0.002,0.017,0.036,0.062,0.137,7228.408,1
"sig_site_im",0.106,0.001,0.089,0.004,0.039,0.085,0.15,0.326,5680.837,1
"sig_site_prod",0.203,0.001,0.058,0.118,0.163,0.194,0.234,0.337,6450.35,1
"sig_sy_phia",0.061,0.001,0.046,0.002,0.025,0.053,0.088,0.171,6672.232,1
"sig_sy_im",0.108,0.001,0.083,0.004,0.042,0.09,0.156,0.311,6320.767,1
"sig_sy_prod",0.219,0,0.021,0.18,0.204,0.218,0.233,0.264,7186.19,1
"mlam[1]",0.989,0,0.027,0.938,0.971,0.989,1.007,1.043,7763.97,1
"mlam[2]",1.009,0,0.041,0.933,0.982,1.008,1.035,1.095,7604.698,1
"mlam[3]",1.087,0.001,0.06,0.981,1.041,1.088,1.129,1.21,3966.735,1
"mlam[4]",1.029,0,0.025,0.982,1.012,1.028,1.045,1.079,7832.479,1
"mlam[5]",0.996,0,0.029,0.942,0.978,0.995,1.015,1.055,8019.735,1
"mlam[6]",1.045,0,0.028,0.995,1.025,1.043,1.062,1.104,7110.758,1
"mlam[7]",1.027,0,0.028,0.974,1.007,1.027,1.046,1.086,7676.67,1
"mlam[8]",0.973,0.001,0.046,0.889,0.942,0.971,1.002,1.072,7766.037,1
"mlam[9]",1.072,0.001,0.052,0.987,1.034,1.065,1.104,1.187,6723.716,1.001
"mlam[10]",1.028,0,0.03,0.971,1.007,1.027,1.048,1.09,7861.354,1
"mlam[11]",1.058,0.001,0.046,0.99,1.026,1.048,1.081,1.167,2862.705,1
"mlam[12]",1.044,0,0.025,0.998,1.027,1.043,1.06,1.096,7518.963,1
"var_phia_year",0.068,0.001,0.052,0.014,0.036,0.055,0.086,0.204,7453.215,1
"var_phia_siteyear",0.006,0,0.008,0,0.001,0.003,0.008,0.029,7153.389,1
"icc_phia",0.905,0.002,0.126,0.534,0.87,0.954,0.99,1,6914.397,1
"var_im_year",0.053,0.001,0.082,0,0.005,0.023,0.066,0.282,5516.605,1.001
"var_im_siteyear",0.018,0,0.027,0,0.002,0.008,0.024,0.097,6095.164,1
"icc_im",0.631,0.004,0.341,0.006,0.332,0.742,0.946,1,5886.25,1.001
"var_prod_year",0.091,0.001,0.064,0.031,0.054,0.076,0.109,0.246,7451.987,1
"var_prod_siteyear",0.048,0,0.01,0.032,0.042,0.047,0.054,0.07,7158.471,1
"icc_prod",0.613,0.002,0.124,0.366,0.526,0.615,0.704,0.845,6769.287,1
